time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,burner_0,arrival,0.0000,0.0000,0.0000,300.0000
0.0000,2,burner_1,arrival,0.0000,0.0000,0.0000,300.0000
0.0000,1,burner_0,start,0.0000,0.0000,0.0000,300.0000
3.0000,1,burner_0,preempt,3.0000,0.0000,0.0000,297.0000
3.0000,2,burner_1,start,0.0000,0.0000,0.0000,300.0000
6.0000,2,burner_1,preempt,3.0000,0.0000,3.0000,297.0000
6.0000,1,burner_0,start,3.0000,0.0000,3.0000,297.0000
9.0000,1,burner_0,preempt,6.0000,0.0000,3.0000,294.0000
9.0000,2,burner_1,start,3.0000,0.0000,3.0000,297.0000
12.0000,2,burner_1,preempt,6.0000,0.0000,6.0000,294.0000
12.0000,1,burner_0,start,6.0000,0.0000,6.0000,294.0000
15.0000,3,wake_1,arrival,3.0000,0.0000,6.0000,0.5000
15.0000,1,burner_0,preempt,9.0000,0.0000,6.0000,291.0000
15.0000,3,wake_1,start,3.0000,0.0000,6.0000,0.5000
15.5000,3,wake_1,finish,3.5000,0.0000,6.0000,0.0000
15.5000,2,burner_1,start,6.0000,0.0000,6.0000,294.0000
18.5000,2,burner_1,preempt,9.0000,0.0000,9.0000,291.0000
18.5000,1,burner_0,start,9.0000,0.0000,9.0000,291.0000
21.5000,1,burner_0,preempt,12.0000,0.0000,9.0000,288.0000
21.5000,2,burner_1,start,9.0000,0.0000,9.0000,291.0000
24.5000,2,burner_1,preempt,12.0000,0.0000,12.0000,288.0000
24.5000,1,burner_0,start,12.0000,0.0000,12.0000,288.0000
27.5000,1,burner_0,preempt,15.0000,0.0000,12.0000,285.0000
27.5000,2,burner_1,start,12.0000,0.0000,12.0000,288.0000
30.5000,2,burner_1,preempt,15.0000,0.0000,15.0000,285.0000
30.5000,1,burner_0,start,15.0000,0.0000,15.0000,285.0000
33.5000,1,burner_0,preempt,18.0000,0.0000,15.0000,282.0000
33.5000,2,burner_1,start,15.0000,0.0000,15.0000,285.0000
36.5000,2,burner_1,preempt,18.0000,0.0000,18.0000,282.0000
36.5000,1,burner_0,start,18.0000,0.0000,18.0000,282.0000
39.5000,1,burner_0,preempt,21.0000,0.0000,18.0000,279.0000
39.5000,2,burner_1,start,18.0000,0.0000,18.0000,282.0000
42.5000,2,burner_1,preempt,21.0000,0.0000,21.0000,279.0000
42.5000,1,burner_0,start,21.0000,0.0000,21.0000,279.0000
45.0000,4,wake_2,arrival,18.0000,0.0000,21.0000,0.5000
45.5000,1,burner_0,preempt,24.0000,0.0000,21.0000,276.0000
45.5000,4,wake_2,start,18.0000,0.0000,21.0000,0.5000
46.0000,4,wake_2,finish,18.5000,0.0000,21.0000,0.0000
46.0000,2,burner_1,start,21.0000,0.0000,21.0000,279.0000
49.0000,2,burner_1,preempt,24.0000,0.0000,24.0000,276.0000
49.0000,1,burner_0,start,24.0000,0.0000,24.0000,276.0000
52.0000,1,burner_0,preempt,27.0000,0.0000,24.0000,273.0000
52.0000,2,burner_1,start,24.0000,0.0000,24.0000,276.0000
55.0000,2,burner_1,preempt,27.0000,0.0000,27.0000,273.0000
55.0000,1,burner_0,start,27.0000,0.0000,27.0000,273.0000
58.0000,1,burner_0,preempt,30.0000,0.0000,27.0000,270.0000
