time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,2,burner_1,arrival,0.0000,0.0000,0.0000,400.0000
0.0000,3,burner_2,arrival,0.0000,0.0000,0.0000,400.0000
0.0000,1,burner_0,arrival,0.0000,0.0000,0.0000,400.0000
0.0000,1,burner_0,start,0.0000,0.0000,0.0000,400.0000
2.0000,1,burner_0,preempt,2.0000,0.0000,0.0000,398.0000
2.0000,2,burner_1,start,0.0000,0.0000,0.0000,400.0000
4.0000,2,burner_1,preempt,2.0000,0.0000,0.0000,398.0000
4.0000,3,burner_2,start,0.0000,0.0000,0.0000,400.0000
6.0000,3,burner_2,preempt,2.0000,0.0000,2.0000,398.0000
6.0000,1,burner_0,start,2.0000,0.0000,2.0000,398.0000
8.0000,1,burner_0,preempt,4.0000,0.0000,2.0000,396.0000
8.0000,2,burner_1,start,2.0000,0.0000,2.0000,398.0000
10.0000,2,burner_1,preempt,4.0000,0.0000,2.0000,396.0000
10.0000,3,burner_2,start,2.0000,0.0000,2.0000,398.0000
12.0000,3,burner_2,preempt,4.0000,0.0000,4.0000,396.0000
12.0000,1,burner_0,start,4.0000,0.0000,4.0000,396.0000
14.0000,1,burner_0,preempt,6.0000,0.0000,4.0000,394.0000
14.0000,2,burner_1,start,4.0000,0.0000,4.0000,396.0000
15.0000,4,wake_ln_plus10_a,arrival,1.0000,0.0000,4.0000,0.5000
16.0000,2,burner_1,preempt,6.0000,0.0000,4.0000,394.0000
16.0000,4,wake_ln_plus10_a,start,1.0000,0.0000,4.0000,0.5000
16.5000,4,wake_ln_plus10_a,finish,1.5000,0.0000,4.0000,0.0000
16.5000,3,burner_2,start,4.0000,0.0000,4.0000,396.0000
18.5000,3,burner_2,preempt,6.0000,0.0000,6.0000,394.0000
18.5000,1,burner_0,start,6.0000,0.0000,6.0000,394.0000
20.5000,1,burner_0,preempt,8.0000,0.0000,6.0000,392.0000
20.5000,2,burner_1,start,6.0000,0.0000,6.0000,394.0000
22.5000,2,burner_1,preempt,8.0000,0.0000,6.0000,392.0000
22.5000,3,burner_2,start,6.0000,0.0000,6.0000,394.0000
24.5000,3,burner_2,preempt,8.0000,0.0000,8.0000,392.0000
24.5000,1,burner_0,start,8.0000,0.0000,8.0000,392.0000
26.5000,1,burner_0,preempt,10.0000,0.0000,8.0000,390.0000
26.5000,2,burner_1,start,8.0000,0.0000,8.0000,392.0000
28.5000,2,burner_1,preempt,10.0000,0.0000,8.0000,390.0000
28.5000,3,burner_2,start,8.0000,0.0000,8.0000,392.0000
30.5000,3,burner_2,preempt,10.0000,0.0000,10.0000,390.0000
30.5000,1,burner_0,start,10.0000,0.0000,10.0000,390.0000
32.5000,1,burner_0,preempt,12.0000,0.0000,10.0000,388.0000
32.5000,2,burner_1,start,10.0000,0.0000,10.0000,390.0000
34.5000,2,burner_1,preempt,12.0000,0.0000,10.0000,388.0000
34.5000,3,burner_2,start,10.0000,0.0000,10.0000,390.0000
35.0000,5,wake_ln_plus10_b,arrival,7.5000,0.0000,10.5000,0.5000
36.5000,3,burner_2,preempt,12.0000,0.0000,10.5000,388.0000
36.5000,5,wake_ln_plus10_b,start,7.5000,0.0000,10.5000,0.5000
37.0000,5,wake_ln_plus10_b,finish,8.0000,0.0000,10.5000,0.0000
37.0000,1,burner_0,start,12.0000,0.0000,10.5000,388.0000
39.0000,1,burner_0,preempt,14.0000,0.0000,12.0000,386.0000
39.0000,2,burner_1,start,12.0000,0.0000,12.0000,388.0000
41.0000,2,burner_1,preempt,14.0000,0.0000,12.0000,386.0000
41.0000,3,burner_2,start,12.0000,0.0000,12.0000,388.0000
43.0000,3,burner_2,preempt,14.0000,0.0000,14.0000,386.0000
43.0000,1,burner_0,start,14.0000,0.0000,14.0000,386.0000
45.0000,1,burner_0,preempt,16.0000,0.0000,14.0000,384.0000
45.0000,2,burner_1,start,14.0000,0.0000,14.0000,386.0000
47.0000,2,burner_1,preempt,16.0000,0.0000,14.0000,384.0000
47.0000,3,burner_2,start,14.0000,0.0000,14.0000,386.0000
49.0000,3,burner_2,preempt,16.0000,0.0000,16.0000,384.0000
49.0000,1,burner_0,start,16.0000,0.0000,16.0000,384.0000
51.0000,1,burner_0,preempt,18.0000,0.0000,16.0000,382.0000
51.0000,2,burner_1,start,16.0000,0.0000,16.0000,384.0000
53.0000,2,burner_1,preempt,18.0000,0.0000,16.0000,382.0000
53.0000,3,burner_2,start,16.0000,0.0000,16.0000,384.0000
55.0000,6,wake_ln_plus10_c,arrival,15.0000,0.0000,18.0000,0.5000
55.0000,3,burner_2,preempt,18.0000,0.0000,18.0000,382.0000
55.0000,6,wake_ln_plus10_c,start,15.0000,0.0000,18.0000,0.5000
55.5000,6,wake_ln_plus10_c,finish,15.5000,0.0000,18.0000,0.0000
55.5000,1,burner_0,start,18.0000,0.0000,18.0000,382.0000
57.5000,1,burner_0,preempt,20.0000,0.0000,18.0000,380.0000
57.5000,2,burner_1,start,18.0000,0.0000,18.0000,382.0000
59.5000,2,burner_1,preempt,20.0000,0.0000,18.0000,380.0000
59.5000,3,burner_2,start,18.0000,0.0000,18.0000,382.0000
61.5000,3,burner_2,preempt,20.0000,0.0000,20.0000,380.0000
61.5000,1,burner_0,start,20.0000,0.0000,20.0000,380.0000
63.5000,1,burner_0,preempt,22.0000,0.0000,20.0000,378.0000
63.5000,2,burner_1,start,20.0000,0.0000,20.0000,380.0000
65.5000,2,burner_1,preempt,22.0000,0.0000,20.0000,378.0000
65.5000,3,burner_2,start,20.0000,0.0000,20.0000,380.0000
67.5000,3,burner_2,preempt,22.0000,0.0000,22.0000,378.0000
67.5000,1,burner_0,start,22.0000,0.0000,22.0000,378.0000
69.5000,1,burner_0,preempt,24.0000,0.0000,22.0000,376.0000
69.5000,2,burner_1,start,22.0000,0.0000,22.0000,378.0000
71.5000,2,burner_1,preempt,24.0000,0.0000,22.0000,376.0000
71.5000,3,burner_2,start,22.0000,0.0000,22.0000,378.0000
73.5000,3,burner_2,preempt,24.0000,0.0000,24.0000,376.0000
73.5000,1,burner_0,start,24.0000,0.0000,24.0000,376.0000
75.0000,7,wake_ln_plus10_d,arrival,21.0000,0.0000,24.0000,0.5000
75.5000,1,burner_0,preempt,26.0000,0.0000,24.0000,374.0000
75.5000,7,wake_ln_plus10_d,start,21.0000,0.0000,24.0000,0.5000
76.0000,7,wake_ln_plus10_d,finish,21.5000,0.0000,24.0000,0.0000
76.0000,2,burner_1,start,24.0000,0.0000,24.0000,376.0000
