time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,burner_0,arrival,0.0000,0.0000,0.0000,120.0000
0.0000,2,burner_1,arrival,0.0000,0.0000,0.0000,120.0000
0.0000,3,burner_2,arrival,0.0000,0.0000,0.0000,120.0000
0.0000,4,burner_3,arrival,0.0000,0.0000,0.0000,120.0000
0.0000,1,burner_0,start,0.0000,0.0000,0.0000,120.0000
1.5000,1,burner_0,preempt,1.5000,0.0000,0.0000,118.5000
1.5000,2,burner_1,start,0.0000,0.0000,0.0000,120.0000
3.0000,2,burner_1,preempt,1.5000,0.0000,0.0000,118.5000
3.0000,3,burner_2,start,0.0000,0.0000,0.0000,120.0000
4.5000,3,burner_2,preempt,1.5000,0.0000,0.0000,118.5000
4.5000,4,burner_3,start,0.0000,0.0000,0.0000,120.0000
6.0000,4,burner_3,preempt,1.5000,0.0000,1.5000,118.5000
6.0000,1,burner_0,start,1.5000,0.0000,1.5000,118.5000
7.5000,1,burner_0,preempt,3.0000,0.0000,1.5000,117.0000
7.5000,2,burner_1,start,1.5000,0.0000,1.5000,118.5000
9.0000,2,burner_1,preempt,3.0000,0.0000,1.5000,117.0000
9.0000,3,burner_2,start,1.5000,0.0000,1.5000,118.5000
10.5000,3,burner_2,preempt,3.0000,0.0000,1.5000,117.0000
10.5000,4,burner_3,start,1.5000,0.0000,1.5000,118.5000
12.0000,4,burner_3,preempt,3.0000,0.0000,3.0000,117.0000
12.0000,1,burner_0,start,3.0000,0.0000,3.0000,117.0000
13.5000,1,burner_0,preempt,4.5000,0.0000,3.0000,115.5000
13.5000,2,burner_1,start,3.0000,0.0000,3.0000,117.0000
15.0000,2,burner_1,preempt,4.5000,0.0000,3.0000,115.5000
15.0000,3,burner_2,start,3.0000,0.0000,3.0000,117.0000
16.5000,3,burner_2,preempt,4.5000,0.0000,3.0000,115.5000
16.5000,4,burner_3,start,3.0000,0.0000,3.0000,117.0000
18.0000,4,burner_3,preempt,4.5000,0.0000,4.5000,115.5000
18.0000,1,burner_0,start,4.5000,0.0000,4.5000,115.5000
19.5000,1,burner_0,preempt,6.0000,0.0000,4.5000,114.0000
19.5000,2,burner_1,start,4.5000,0.0000,4.5000,115.5000
21.0000,2,burner_1,preempt,6.0000,0.0000,4.5000,114.0000
21.0000,3,burner_2,start,4.5000,0.0000,4.5000,115.5000
22.5000,3,burner_2,preempt,6.0000,0.0000,4.5000,114.0000
22.5000,4,burner_3,start,4.5000,0.0000,4.5000,115.5000
24.0000,4,burner_3,preempt,6.0000,0.0000,6.0000,114.0000
24.0000,1,burner_0,start,6.0000,0.0000,6.0000,114.0000
25.5000,1,burner_0,preempt,7.5000,0.0000,6.0000,112.5000
25.5000,2,burner_1,start,6.0000,0.0000,6.0000,114.0000
27.0000,2,burner_1,preempt,7.5000,0.0000,6.0000,112.5000
27.0000,3,burner_2,start,6.0000,0.0000,6.0000,114.0000
28.5000,3,burner_2,preempt,7.5000,0.0000,6.0000,112.5000
28.5000,4,burner_3,start,6.0000,0.0000,6.0000,114.0000
30.0000,4,burner_3,preempt,7.5000,0.0000,7.5000,112.5000
30.0000,1,burner_0,start,7.5000,0.0000,7.5000,112.5000
31.5000,1,burner_0,preempt,9.0000,0.0000,7.5000,111.0000
31.5000,2,burner_1,start,7.5000,0.0000,7.5000,112.5000
