time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,nice_minus5,arrival,0.0000,0.0000,0.0000,150.0000
0.0000,2,nice_0,arrival,0.0000,0.0000,0.0000,150.0000
0.0000,3,nice_plus5,arrival,0.0000,0.0000,0.0000,150.0000
0.0000,1,nice_minus5,start,0.0000,0.0000,0.0000,150.0000
2.0000,1,nice_minus5,preempt,0.6562,0.0000,0.0000,148.0000
2.0000,2,nice_0,start,0.0000,0.0000,0.0000,150.0000
4.0000,2,nice_0,preempt,2.0000,0.0000,0.0000,148.0000
4.0000,3,nice_plus5,start,0.0000,0.0000,0.0000,150.0000
6.0000,3,nice_plus5,preempt,6.1134,0.0000,0.6562,148.0000
6.0000,1,nice_minus5,start,0.6562,0.0000,0.6562,148.0000
12.0000,1,nice_minus5,preempt,2.6248,0.0000,2.0000,142.0000
12.0000,2,nice_0,start,2.0000,0.0000,2.0000,148.0000
14.0000,2,nice_0,preempt,4.0000,0.0000,2.6248,146.0000
14.0000,1,nice_minus5,start,2.6248,0.0000,2.6248,142.0000
20.0000,1,nice_minus5,preempt,4.5934,0.0000,4.0000,136.0000
20.0000,2,nice_0,start,4.0000,0.0000,4.0000,146.0000
22.0000,2,nice_0,preempt,6.0000,0.0000,4.5934,144.0000
22.0000,1,nice_minus5,start,4.5934,0.0000,4.5934,136.0000
28.0000,1,nice_minus5,preempt,6.5620,0.0000,6.0000,130.0000
28.0000,2,nice_0,start,6.0000,0.0000,6.0000,144.0000
30.0000,2,nice_0,preempt,8.0000,0.0000,6.1134,142.0000
30.0000,3,nice_plus5,start,6.1134,0.0000,6.1134,148.0000
32.0000,3,nice_plus5,preempt,12.2269,0.0000,6.5620,146.0000
32.0000,1,nice_minus5,start,6.5620,0.0000,6.5620,130.0000
38.0000,1,nice_minus5,preempt,8.5306,0.0000,8.0000,124.0000
38.0000,2,nice_0,start,8.0000,0.0000,8.0000,142.0000
40.0000,2,nice_0,preempt,10.0000,0.0000,8.5306,140.0000
40.0000,1,nice_minus5,start,8.5306,0.0000,8.5306,124.0000
46.0000,1,nice_minus5,preempt,10.4992,0.0000,10.0000,118.0000
46.0000,2,nice_0,start,10.0000,0.0000,10.0000,140.0000
48.0000,2,nice_0,preempt,12.0000,0.0000,10.4992,138.0000
48.0000,1,nice_minus5,start,10.4992,0.0000,10.4992,118.0000
54.0000,1,nice_minus5,preempt,12.4678,0.0000,12.0000,112.0000
54.0000,2,nice_0,start,12.0000,0.0000,12.0000,138.0000
56.0000,2,nice_0,preempt,14.0000,0.0000,12.2269,136.0000
56.0000,3,nice_plus5,start,12.2269,0.0000,12.2269,146.0000
58.0000,3,nice_plus5,preempt,18.3403,0.0000,12.4678,144.0000
58.0000,1,nice_minus5,start,12.4678,0.0000,12.4678,112.0000
64.0000,1,nice_minus5,preempt,14.4364,0.0000,14.0000,106.0000
64.0000,2,nice_0,start,14.0000,0.0000,14.0000,136.0000
66.0000,2,nice_0,preempt,16.0000,0.0000,14.4364,134.0000
66.0000,1,nice_minus5,start,14.4364,0.0000,14.4364,106.0000
72.0000,1,nice_minus5,preempt,16.4050,0.0000,16.0000,100.0000
72.0000,2,nice_0,start,16.0000,0.0000,16.0000,134.0000
74.0000,2,nice_0,preempt,18.0000,0.0000,16.4050,132.0000
74.0000,1,nice_minus5,start,16.4050,0.0000,16.4050,100.0000
80.0000,1,nice_minus5,preempt,18.3736,0.0000,18.0000,94.0000
80.0000,2,nice_0,start,18.0000,0.0000,18.0000,132.0000
82.0000,2,nice_0,preempt,20.0000,0.0000,18.3403,130.0000
82.0000,3,nice_plus5,start,18.3403,0.0000,18.3403,144.0000
84.0000,3,nice_plus5,preempt,24.4537,0.0000,18.3736,142.0000
84.0000,1,nice_minus5,start,18.3736,0.0000,18.3736,94.0000
90.0000,1,nice_minus5,preempt,20.3422,0.0000,20.0000,88.0000
90.0000,2,nice_0,start,20.0000,0.0000,20.0000,130.0000
92.0000,2,nice_0,preempt,22.0000,0.0000,20.3422,128.0000
92.0000,1,nice_minus5,start,20.3422,0.0000,20.3422,88.0000
98.0000,1,nice_minus5,preempt,22.3108,0.0000,22.0000,82.0000
98.0000,2,nice_0,start,22.0000,0.0000,22.0000,128.0000
100.0000,2,nice_0,preempt,24.0000,0.0000,22.3108,126.0000
100.0000,1,nice_minus5,start,22.3108,0.0000,22.3108,82.0000
106.0000,1,nice_minus5,preempt,24.2794,0.0000,24.0000,76.0000
106.0000,2,nice_0,start,24.0000,0.0000,24.0000,126.0000
108.0000,2,nice_0,preempt,26.0000,0.0000,24.2794,124.0000
108.0000,1,nice_minus5,start,24.2794,0.0000,24.2794,76.0000
110.0000,1,nice_minus5,preempt,24.9356,0.0000,24.4537,74.0000
110.0000,3,nice_plus5,start,24.4537,0.0000,24.4537,142.0000
112.0000,3,nice_plus5,preempt,30.5672,0.0000,24.9356,140.0000
112.0000,1,nice_minus5,start,24.9356,0.0000,24.9356,74.0000
116.0000,1,nice_minus5,preempt,26.2480,0.0000,26.0000,70.0000
116.0000,2,nice_0,start,26.0000,0.0000,26.0000,124.0000
118.0000,2,nice_0,preempt,28.0000,0.0000,26.2480,122.0000
118.0000,1,nice_minus5,start,26.2480,0.0000,26.2480,70.0000
124.0000,1,nice_minus5,preempt,28.2166,0.0000,28.0000,64.0000
124.0000,2,nice_0,start,28.0000,0.0000,28.0000,122.0000
126.0000,2,nice_0,preempt,30.0000,0.0000,28.2166,120.0000
126.0000,1,nice_minus5,start,28.2166,0.0000,28.2166,64.0000
132.0000,1,nice_minus5,preempt,30.1852,0.0000,30.0000,58.0000
132.0000,2,nice_0,start,30.0000,0.0000,30.0000,120.0000
134.0000,2,nice_0,preempt,32.0000,0.0000,30.1852,118.0000
134.0000,1,nice_minus5,start,30.1852,0.0000,30.1852,58.0000
136.0000,1,nice_minus5,preempt,30.8414,0.0000,30.5672,56.0000
136.0000,3,nice_plus5,start,30.5672,0.0000,30.5672,140.0000
138.0000,3,nice_plus5,preempt,36.6806,0.0000,30.8414,138.0000
138.0000,1,nice_minus5,start,30.8414,0.0000,30.8414,56.0000
142.0000,1,nice_minus5,preempt,32.1538,0.0000,32.0000,52.0000
142.0000,2,nice_0,start,32.0000,0.0000,32.0000,118.0000
144.0000,2,nice_0,preempt,34.0000,0.0000,32.1538,116.0000
144.0000,1,nice_minus5,start,32.1538,0.0000,32.1538,52.0000
150.0000,1,nice_minus5,preempt,34.1224,0.0000,34.0000,46.0000
150.0000,2,nice_0,start,34.0000,0.0000,34.0000,116.0000
152.0000,2,nice_0,preempt,36.0000,0.0000,34.1224,114.0000
152.0000,1,nice_minus5,start,34.1224,0.0000,34.1224,46.0000
158.0000,1,nice_minus5,preempt,36.0910,0.0000,36.0000,40.0000
158.0000,2,nice_0,start,36.0000,0.0000,36.0000,114.0000
160.0000,2,nice_0,preempt,38.0000,0.0000,36.0910,112.0000
160.0000,1,nice_minus5,start,36.0910,0.0000,36.0910,40.0000
162.0000,1,nice_minus5,preempt,36.7472,0.0000,36.6806,38.0000
162.0000,3,nice_plus5,start,36.6806,0.0000,36.6806,138.0000
164.0000,3,nice_plus5,preempt,42.7940,0.0000,36.7472,136.0000
164.0000,1,nice_minus5,start,36.7472,0.0000,36.7472,38.0000
168.0000,1,nice_minus5,preempt,38.0596,0.0000,38.0000,34.0000
168.0000,2,nice_0,start,38.0000,0.0000,38.0000,112.0000
