time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,burner_0,arrival,0.0000,3.0000,0.0000,300.0000
0.0000,2,burner_1,arrival,0.0000,3.0000,0.0000,300.0000
0.0000,1,burner_0,start,0.0000,3.0000,0.0000,300.0000
3.0000,1,burner_0,preempt,3.0000,6.0000,1.5000,297.0000
3.0000,2,burner_1,start,0.0000,3.0000,1.5000,300.0000
9.0000,2,burner_1,preempt,6.0000,9.0000,4.5000,294.0000
9.0000,1,burner_0,start,3.0000,6.0000,4.5000,297.0000
15.0000,3,wake_1,arrival,0.0000,7.8221,7.5000,0.5000
15.0000,1,burner_0,preempt,9.0000,12.0000,7.5000,291.0000
15.0000,3,wake_1,start,0.0000,7.8221,7.5000,0.5000
15.5000,3,wake_1,finish,0.5000,8.2221,7.6667,0.0000
15.5000,2,burner_1,start,6.0000,9.0000,7.6667,294.0000
21.5000,2,burner_1,preempt,12.0000,15.0000,10.6667,288.0000
21.5000,1,burner_0,start,9.0000,12.0000,10.6667,291.0000
27.5000,1,burner_0,preempt,15.0000,18.0000,13.6667,285.0000
27.5000,2,burner_1,start,12.0000,15.0000,13.6667,288.0000
33.5000,2,burner_1,preempt,18.0000,21.0000,16.6667,282.0000
33.5000,1,burner_0,start,15.0000,18.0000,16.6667,285.0000
39.5000,1,burner_0,preempt,21.0000,24.0000,19.6667,279.0000
39.5000,2,burner_1,start,18.0000,21.0000,19.6667,282.0000
45.0000,4,wake_2,arrival,0.0000,22.7388,22.4167,0.5000
45.0000,2,burner_1,preempt,23.5000,24.0000,22.4167,276.5000
45.0000,4,wake_2,start,0.0000,22.7388,22.4167,0.5000
45.5000,4,wake_2,finish,0.5000,23.1388,22.5833,0.0000
45.5000,1,burner_0,start,21.0000,24.0000,22.5833,279.0000
48.5000,1,burner_0,preempt,24.0000,27.0000,24.0833,276.0000
48.5000,2,burner_1,start,23.5000,24.0000,24.0833,276.5000
52.0000,2,burner_1,preempt,27.0000,30.0000,25.8333,273.0000
52.0000,1,burner_0,start,24.0000,27.0000,25.8333,276.0000
58.0000,1,burner_0,preempt,30.0000,33.0000,28.8333,270.0000
58.0000,2,burner_1,start,27.0000,30.0000,28.8333,273.0000
64.0000,2,burner_1,preempt,33.0000,36.0000,31.8333,267.0000
64.0000,1,burner_0,start,30.0000,33.0000,31.8333,270.0000
70.0000,1,burner_0,preempt,36.0000,39.0000,34.8333,264.0000
70.0000,2,burner_1,start,33.0000,36.0000,34.8333,267.0000
75.0000,5,wake_3,arrival,0.0000,37.6555,37.3333,0.5000
75.0000,2,burner_1,preempt,38.0000,39.0000,37.3333,262.0000
75.0000,5,wake_3,start,0.0000,37.6555,37.3333,0.5000
75.5000,5,wake_3,finish,0.5000,38.0555,37.5000,0.0000
75.5000,1,burner_0,start,36.0000,39.0000,37.5000,264.0000
78.5000,1,burner_0,preempt,39.0000,42.0000,39.0000,261.0000
78.5000,2,burner_1,start,38.0000,39.0000,39.0000,262.0000
82.5000,2,burner_1,preempt,42.0000,45.0000,41.0000,258.0000
82.5000,1,burner_0,start,39.0000,42.0000,41.0000,261.0000
88.5000,1,burner_0,preempt,45.0000,48.0000,44.0000,255.0000
88.5000,2,burner_1,start,42.0000,45.0000,44.0000,258.0000
94.5000,2,burner_1,preempt,48.0000,51.0000,47.0000,252.0000
94.5000,1,burner_0,start,45.0000,48.0000,47.0000,255.0000
100.5000,1,burner_0,preempt,51.0000,54.0000,50.0000,249.0000
100.5000,2,burner_1,start,48.0000,51.0000,50.0000,252.0000
105.0000,6,wake_4,arrival,0.0000,52.5721,52.2500,0.5000
105.0000,2,burner_1,preempt,52.5000,54.0000,52.2500,247.5000
105.0000,6,wake_4,start,0.0000,52.5721,52.2500,0.5000
105.5000,6,wake_4,finish,0.5000,52.9721,52.4167,0.0000
105.5000,1,burner_0,start,51.0000,54.0000,52.4167,249.0000
108.5000,1,burner_0,preempt,54.0000,57.0000,53.9167,246.0000
108.5000,2,burner_1,start,52.5000,54.0000,53.9167,247.5000
113.0000,2,burner_1,preempt,57.0000,60.0000,56.1667,243.0000
113.0000,1,burner_0,start,54.0000,57.0000,56.1667,246.0000
119.0000,1,burner_0,preempt,60.0000,63.0000,59.1667,240.0000
119.0000,2,burner_1,start,57.0000,60.0000,59.1667,243.0000
125.0000,2,burner_1,preempt,63.0000,66.0000,62.1667,237.0000
125.0000,1,burner_0,start,60.0000,63.0000,62.1667,240.0000
131.0000,1,burner_0,preempt,66.0000,69.0000,65.1667,234.0000
131.0000,2,burner_1,start,63.0000,66.0000,65.1667,237.0000
135.0000,7,wake_5,arrival,0.0000,67.4888,67.1667,0.5000
135.0000,2,burner_1,preempt,67.0000,69.0000,67.1667,233.0000
135.0000,7,wake_5,start,0.0000,67.4888,67.1667,0.5000
135.5000,7,wake_5,finish,0.5000,67.8888,67.3333,0.0000
135.5000,1,burner_0,start,66.0000,69.0000,67.3333,234.0000
138.5000,1,burner_0,preempt,69.0000,72.0000,68.8333,231.0000
138.5000,2,burner_1,start,67.0000,69.0000,68.8333,233.0000
143.5000,2,burner_1,preempt,72.0000,75.0000,71.3333,228.0000
143.5000,1,burner_0,start,69.0000,72.0000,71.3333,231.0000
149.5000,1,burner_0,preempt,75.0000,78.0000,74.3333,225.0000
149.5000,2,burner_1,start,72.0000,75.0000,74.3333,228.0000
155.5000,2,burner_1,preempt,78.0000,81.0000,77.3333,222.0000
155.5000,1,burner_0,start,75.0000,78.0000,77.3333,225.0000
161.5000,1,burner_0,preempt,81.0000,84.0000,80.3333,219.0000
161.5000,2,burner_1,start,78.0000,81.0000,80.3333,222.0000
165.0000,8,wake_6,arrival,0.0000,82.4055,82.0833,0.5000
165.0000,2,burner_1,preempt,81.5000,84.0000,82.0833,218.5000
165.0000,8,wake_6,start,0.0000,82.4055,82.0833,0.5000
165.5000,8,wake_6,finish,0.5000,82.8055,82.2500,0.0000
165.5000,1,burner_0,start,81.0000,84.0000,82.2500,219.0000
168.5000,1,burner_0,preempt,84.0000,87.0000,83.7500,216.0000
168.5000,2,burner_1,start,81.5000,84.0000,83.7500,218.5000
174.0000,2,burner_1,preempt,87.0000,90.0000,86.5000,213.0000
174.0000,1,burner_0,start,84.0000,87.0000,86.5000,216.0000
180.0000,1,burner_0,preempt,90.0000,93.0000,89.5000,210.0000
180.0000,2,burner_1,start,87.0000,90.0000,89.5000,213.0000
186.0000,2,burner_1,preempt,93.0000,96.0000,92.5000,207.0000
186.0000,1,burner_0,start,90.0000,93.0000,92.5000,210.0000
192.0000,1,burner_0,preempt,96.0000,99.0000,95.5000,204.0000
192.0000,2,burner_1,start,93.0000,96.0000,95.5000,207.0000
195.0000,9,wake_7,arrival,0.0000,97.3221,97.0000,0.5000
195.0000,2,burner_1,preempt,96.0000,99.0000,97.0000,204.0000
195.0000,9,wake_7,start,0.0000,97.3221,97.0000,0.5000
195.5000,9,wake_7,finish,0.5000,97.7221,97.1667,0.0000
195.5000,1,burner_0,start,96.0000,99.0000,97.1667,204.0000
198.5000,1,burner_0,preempt,99.0000,102.0000,98.6667,201.0000
198.5000,2,burner_1,start,96.0000,99.0000,98.6667,204.0000
204.5000,2,burner_1,preempt,102.0000,105.0000,101.6667,198.0000
204.5000,1,burner_0,start,99.0000,102.0000,101.6667,201.0000
210.5000,1,burner_0,preempt,105.0000,108.0000,104.6667,195.0000
210.5000,2,burner_1,start,102.0000,105.0000,104.6667,198.0000
216.5000,2,burner_1,preempt,108.0000,111.0000,107.6667,192.0000
216.5000,1,burner_0,start,105.0000,108.0000,107.6667,195.0000
222.5000,1,burner_0,preempt,111.0000,114.0000,110.6667,189.0000
222.5000,2,burner_1,start,108.0000,111.0000,110.6667,192.0000
225.0000,10,wake_8,arrival,0.0000,112.2388,111.9167,0.5000
225.5000,2,burner_1,preempt,111.0000,114.0000,112.0833,189.0000
225.5000,10,wake_8,start,0.0000,112.2388,112.0833,0.5000
226.0000,10,wake_8,finish,0.5000,112.6388,112.2500,0.0000
226.0000,1,burner_0,start,111.0000,114.0000,112.2500,189.0000
229.0000,1,burner_0,preempt,114.0000,117.0000,113.7500,186.0000
229.0000,2,burner_1,start,111.0000,114.0000,113.7500,189.0000
235.0000,2,burner_1,preempt,117.0000,120.0000,116.7500,183.0000
235.0000,1,burner_0,start,114.0000,117.0000,116.7500,186.0000
241.0000,1,burner_0,preempt,120.0000,123.0000,119.7500,180.0000
241.0000,2,burner_1,start,117.0000,120.0000,119.7500,183.0000
247.0000,2,burner_1,preempt,123.0000,126.0000,122.7500,177.0000
247.0000,1,burner_0,start,120.0000,123.0000,122.7500,180.0000
