time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,burner_0,arrival,0.0000,3.0000,0.0000,150.0000
0.0000,2,burner_1,arrival,0.0000,3.0000,0.0000,150.0000
0.0000,3,burner_2,arrival,0.0000,3.0000,0.0000,150.0000
0.0000,4,burner_3,arrival,0.0000,3.0000,0.0000,150.0000
0.0000,1,burner_0,start,0.0000,3.0000,0.0000,150.0000
3.0000,1,burner_0,preempt,3.0000,6.0000,0.7500,147.0000
3.0000,2,burner_1,start,0.0000,3.0000,0.7500,150.0000
6.0000,2,burner_1,preempt,3.0000,6.0000,1.5000,147.0000
6.0000,3,burner_2,start,0.0000,3.0000,1.5000,150.0000
9.0000,3,burner_2,preempt,3.0000,6.0000,2.2500,147.0000
9.0000,4,burner_3,start,0.0000,3.0000,2.2500,150.0000
15.0000,4,burner_3,preempt,6.0000,9.0000,3.7500,144.0000
15.0000,1,burner_0,start,3.0000,6.0000,3.7500,147.0000
18.0000,1,burner_0,preempt,6.0000,9.0000,4.5000,144.0000
18.0000,2,burner_1,start,3.0000,6.0000,4.5000,147.0000
21.0000,2,burner_1,preempt,6.0000,9.0000,5.2500,144.0000
21.0000,3,burner_2,start,3.0000,6.0000,5.2500,147.0000
27.0000,3,burner_2,preempt,9.0000,12.0000,6.7500,141.0000
27.0000,1,burner_0,start,6.0000,9.0000,6.7500,144.0000
30.0000,1,burner_0,preempt,9.0000,12.0000,7.5000,141.0000
30.0000,2,burner_1,start,6.0000,9.0000,7.5000,144.0000
33.0000,2,burner_1,preempt,9.0000,12.0000,8.2500,141.0000
33.0000,4,burner_3,start,6.0000,9.0000,8.2500,144.0000
39.0000,4,burner_3,preempt,12.0000,15.0000,9.7500,138.0000
39.0000,1,burner_0,start,9.0000,12.0000,9.7500,141.0000
42.0000,1,burner_0,preempt,12.0000,15.0000,10.5000,138.0000
42.0000,2,burner_1,start,9.0000,12.0000,10.5000,141.0000
45.0000,2,burner_1,preempt,12.0000,15.0000,11.2500,138.0000
45.0000,3,burner_2,start,9.0000,12.0000,11.2500,141.0000
51.0000,3,burner_2,preempt,15.0000,18.0000,12.7500,135.0000
51.0000,1,burner_0,start,12.0000,15.0000,12.7500,138.0000
54.0000,1,burner_0,preempt,15.0000,18.0000,13.5000,135.0000
54.0000,2,burner_1,start,12.0000,15.0000,13.5000,138.0000
57.0000,2,burner_1,preempt,15.0000,18.0000,14.2500,135.0000
57.0000,4,burner_3,start,12.0000,15.0000,14.2500,138.0000
63.0000,4,burner_3,preempt,18.0000,21.0000,15.7500,132.0000
63.0000,1,burner_0,start,15.0000,18.0000,15.7500,135.0000
66.0000,1,burner_0,preempt,18.0000,21.0000,16.5000,132.0000
66.0000,2,burner_1,start,15.0000,18.0000,16.5000,135.0000
69.0000,2,burner_1,preempt,18.0000,21.0000,17.2500,132.0000
69.0000,3,burner_2,start,15.0000,18.0000,17.2500,135.0000
75.0000,3,burner_2,preempt,21.0000,24.0000,18.7500,129.0000
75.0000,1,burner_0,start,18.0000,21.0000,18.7500,132.0000
78.0000,1,burner_0,preempt,21.0000,24.0000,19.5000,129.0000
