time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,2,burner_1,arrival,0.0000,3.0000,0.0000,400.0000
0.0000,3,burner_2,arrival,0.0000,3.0000,0.0000,400.0000
0.0000,1,burner_0,arrival,0.0000,3.0000,0.0000,400.0000
0.0000,1,burner_0,start,0.0000,3.0000,0.0000,400.0000
3.0000,1,burner_0,preempt,3.0000,6.0000,1.0000,397.0000
3.0000,2,burner_1,start,0.0000,3.0000,1.0000,400.0000
6.0000,2,burner_1,preempt,3.0000,6.0000,2.0000,397.0000
6.0000,3,burner_2,start,0.0000,3.0000,2.0000,400.0000
12.0000,3,burner_2,preempt,6.0000,9.0000,4.0000,394.0000
12.0000,1,burner_0,start,3.0000,6.0000,4.0000,397.0000
15.0000,4,wake_ln_plus10_a,arrival,0.0000,25.0000,5.0000,0.5000
15.0000,1,burner_0,preempt,6.0000,9.0000,5.0000,394.0000
15.0000,2,burner_1,start,3.0000,6.0000,5.0000,397.0000
21.0000,2,burner_1,preempt,9.0000,12.0000,6.5000,391.0000
21.0000,1,burner_0,start,6.0000,9.0000,6.5000,394.0000
24.0000,1,burner_0,preempt,9.0000,12.0000,7.2500,391.0000
24.0000,3,burner_2,start,6.0000,9.0000,7.2500,394.0000
31.0000,3,burner_2,preempt,13.0000,15.0000,9.0000,387.0000
31.0000,1,burner_0,start,9.0000,12.0000,9.0000,391.0000
34.0000,1,burner_0,preempt,12.0000,15.0000,9.7500,388.0000
34.0000,2,burner_1,start,9.0000,12.0000,9.7500,391.0000
35.0000,5,wake_ln_plus10_b,arrival,0.0000,30.0000,10.0000,0.5000
45.0000,2,burner_1,preempt,20.0000,21.0000,12.0000,380.0000
45.0000,1,burner_0,start,12.0000,15.0000,12.0000,388.0000
50.0000,1,burner_0,preempt,17.0000,18.0000,13.0000,383.0000
50.0000,3,burner_2,start,13.0000,15.0000,13.0000,387.0000
55.0000,6,wake_ln_plus10_c,arrival,0.0000,34.0000,14.0000,0.5000
61.0000,3,burner_2,preempt,24.0000,27.0000,15.0000,376.0000
61.0000,4,wake_ln_plus10_a,start,0.0000,25.0000,15.0000,0.5000
61.5000,4,wake_ln_plus10_a,finish,0.5000,25.0000,15.0833,0.0000
61.5000,5,wake_ln_plus10_b,start,0.0000,30.0000,15.0833,0.5000
62.0000,5,wake_ln_plus10_b,finish,0.5000,30.0000,15.1833,0.0000
62.0000,6,wake_ln_plus10_c,start,0.0000,34.0000,15.1833,0.5000
62.5000,6,wake_ln_plus10_c,finish,0.5000,34.0000,15.3083,0.0000
62.5000,1,burner_0,start,17.0000,18.0000,15.3083,383.0000
75.0000,7,wake_ln_plus10_d,arrival,0.0000,39.4750,19.4750,0.5000
77.1000,1,burner_0,preempt,31.6000,33.0000,20.0000,368.4000
77.1000,2,burner_1,start,20.0000,21.0000,20.0000,380.0000
93.1000,2,burner_1,preempt,36.0000,39.0000,24.0000,364.0000
93.1000,3,burner_2,start,24.0000,27.0000,24.0000,376.0000
95.0000,8,wake_ln_plus10_e,arrival,0.0000,44.4750,24.4750,0.5000
108.1000,3,burner_2,preempt,39.0000,42.0000,27.0950,361.0000
108.1000,7,wake_ln_plus10_d,start,0.0000,39.4750,27.0950,0.5000
108.6000,7,wake_ln_plus10_d,finish,0.5000,39.4750,27.1950,0.0000
108.6000,8,wake_ln_plus10_e,start,0.0000,44.4750,27.1950,0.5000
109.1000,8,wake_ln_plus10_e,finish,0.5000,44.4750,27.3200,0.0000
109.1000,1,burner_0,start,31.6000,33.0000,27.3200,368.4000
115.0000,9,wake_ln_0_a,arrival,0.0000,32.2867,29.2867,0.5000
115.0000,1,burner_0,preempt,37.5000,39.0000,29.2867,362.5000
115.0000,9,wake_ln_0_a,start,0.0000,32.2867,29.2867,0.5000
115.5000,9,wake_ln_0_a,finish,0.5000,32.2867,29.4117,0.0000
115.5000,1,burner_0,start,37.5000,39.0000,29.4117,362.5000
135.0000,10,wake_ln_0_b,arrival,0.0000,38.9117,35.9117,0.5000
135.0000,1,burner_0,preempt,57.0000,60.0000,35.9117,343.0000
135.0000,10,wake_ln_0_b,start,0.0000,38.9117,35.9117,0.5000
135.5000,10,wake_ln_0_b,finish,0.5000,38.9117,36.0367,0.0000
135.5000,2,burner_1,start,36.0000,39.0000,36.0367,364.0000
144.4000,2,burner_1,preempt,44.9000,45.0000,39.0033,355.1000
144.4000,3,burner_2,start,39.0000,42.0000,39.0033,361.0000
155.0000,11,wake_ln_0_c,arrival,0.0000,45.5367,42.5367,0.5000
155.0000,3,burner_2,preempt,49.6000,51.0000,42.5367,350.4000
155.0000,11,wake_ln_0_c,start,0.0000,45.5367,42.5367,0.5000
155.5000,11,wake_ln_0_c,finish,0.5000,45.5367,42.6617,0.0000
155.5000,2,burner_1,start,44.9000,45.0000,42.6617,355.1000
175.0000,12,wake_ln_0_d,arrival,0.0000,52.1617,49.1617,0.5000
175.0000,2,burner_1,preempt,64.4000,66.0000,49.1617,335.6000
175.0000,12,wake_ln_0_d,start,0.0000,52.1617,49.1617,0.5000
175.5000,12,wake_ln_0_d,finish,0.5000,52.1617,49.2867,0.0000
175.5000,3,burner_2,start,49.6000,51.0000,49.2867,350.4000
195.0000,13,wake_ln_0_e,arrival,0.0000,58.7867,55.7867,0.5000
195.0000,3,burner_2,preempt,69.1000,72.0000,55.7867,330.9000
195.0000,13,wake_ln_0_e,start,0.0000,58.7867,55.7867,0.5000
195.5000,13,wake_ln_0_e,finish,0.5000,58.7867,55.9117,0.0000
195.5000,1,burner_0,start,57.0000,60.0000,55.9117,343.0000
215.0000,14,wake_ln_minus10_a,arrival,0.0000,62.7338,62.4117,0.5000
215.0000,1,burner_0,preempt,76.5000,78.0000,62.4117,323.5000
215.0000,14,wake_ln_minus10_a,start,0.0000,62.7338,62.4117,0.5000
215.5000,14,wake_ln_minus10_a,finish,0.5000,63.1338,62.5367,0.0000
215.5000,2,burner_1,start,64.4000,66.0000,62.5367,335.6000
235.0000,15,wake_ln_minus10_b,arrival,0.0000,69.3588,69.0367,0.5000
235.0000,2,burner_1,preempt,83.9000,84.0000,69.0367,316.1000
235.0000,15,wake_ln_minus10_b,start,0.0000,69.3588,69.0367,0.5000
235.5000,15,wake_ln_minus10_b,finish,0.5000,69.7588,69.1617,0.0000
235.5000,3,burner_2,start,69.1000,72.0000,69.1617,330.9000
255.0000,16,wake_ln_minus10_c,arrival,0.0000,75.9838,75.6617,0.5000
255.0000,3,burner_2,preempt,88.6000,90.0000,75.6617,311.4000
255.0000,16,wake_ln_minus10_c,start,0.0000,75.9838,75.6617,0.5000
255.5000,16,wake_ln_minus10_c,finish,0.5000,76.3838,75.7867,0.0000
255.5000,1,burner_0,start,76.5000,78.0000,75.7867,323.5000
275.0000,17,wake_ln_minus10_d,arrival,0.0000,82.6088,82.2867,0.5000
275.0000,1,burner_0,preempt,96.0000,99.0000,82.2867,304.0000
275.0000,17,wake_ln_minus10_d,start,0.0000,82.6088,82.2867,0.5000
275.5000,17,wake_ln_minus10_d,finish,0.5000,83.0088,82.4117,0.0000
275.5000,2,burner_1,start,83.9000,84.0000,82.4117,316.1000
294.1000,2,burner_1,preempt,102.5000,105.0000,88.6117,297.5000
294.1000,3,burner_2,start,88.6000,90.0000,88.6117,311.4000
295.0000,18,wake_ln_minus10_e,arrival,0.0000,89.2338,88.9117,0.5000
295.0000,3,burner_2,preempt,89.5000,90.0000,88.9117,310.5000
295.0000,18,wake_ln_minus10_e,start,0.0000,89.2338,88.9117,0.5000
295.5000,18,wake_ln_minus10_e,finish,0.5000,89.6338,89.0367,0.0000
295.5000,3,burner_2,start,89.5000,90.0000,89.0367,310.5000
315.0000,19,wake_ln_minus19_a,arrival,0.0000,95.8367,95.5367,0.5000
315.0000,3,burner_2,preempt,109.0000,111.0000,95.5367,291.0000
315.0000,19,wake_ln_minus19_a,start,0.0000,95.8367,95.5367,0.5000
315.5000,19,wake_ln_minus19_a,finish,0.5000,96.1367,95.6617,0.0000
315.5000,1,burner_0,start,96.0000,99.0000,95.6617,304.0000
335.0000,20,wake_ln_minus19_b,arrival,0.0000,102.4617,102.1617,0.5000
335.0000,1,burner_0,preempt,115.5000,117.0000,102.1617,284.5000
335.0000,20,wake_ln_minus19_b,start,0.0000,102.4617,102.1617,0.5000
335.5000,20,wake_ln_minus19_b,finish,0.5000,102.7617,102.2867,0.0000
335.5000,2,burner_1,start,102.5000,105.0000,102.2867,297.5000
355.0000,21,wake_ln_minus19_c,arrival,0.0000,109.0867,108.7867,0.5000
355.0000,2,burner_1,preempt,122.0000,123.0000,108.7867,278.0000
355.0000,21,wake_ln_minus19_c,start,0.0000,109.0867,108.7867,0.5000
355.5000,21,wake_ln_minus19_c,finish,0.5000,109.3867,108.9117,0.0000
355.5000,3,burner_2,start,109.0000,111.0000,108.9117,291.0000
375.0000,22,wake_ln_minus19_d,arrival,0.0000,115.7117,115.4117,0.5000
375.0000,3,burner_2,preempt,128.5000,129.0000,115.4117,271.5000
375.0000,22,wake_ln_minus19_d,start,0.0000,115.7117,115.4117,0.5000
375.5000,22,wake_ln_minus19_d,finish,0.5000,116.0117,115.5367,0.0000
375.5000,1,burner_0,start,115.5000,117.0000,115.5367,284.5000
394.9000,1,burner_0,preempt,134.9000,135.0000,122.0033,265.1000
394.9000,2,burner_1,start,122.0000,123.0000,122.0033,278.0000
395.0000,23,wake_ln_minus19_e,arrival,0.0000,122.3367,122.0367,0.5000
395.0000,2,burner_1,preempt,122.1000,123.0000,122.0367,277.9000
395.0000,23,wake_ln_minus19_e,start,0.0000,122.3367,122.0367,0.5000
395.5000,23,wake_ln_minus19_e,finish,0.5000,122.6367,122.1617,0.0000
395.5000,2,burner_1,start,122.1000,123.0000,122.1617,277.9000
414.6000,2,burner_1,preempt,141.2000,144.0000,128.5283,258.8000
414.6000,3,burner_2,start,128.5000,129.0000,128.5283,271.5000
