time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,burner_0,arrival,0.0000,3.0000,0.0000,120.0000
0.0000,2,burner_1,arrival,0.0000,3.0000,0.0000,120.0000
0.0000,3,burner_2,arrival,0.0000,3.0000,0.0000,120.0000
0.0000,4,burner_3,arrival,0.0000,3.0000,0.0000,120.0000
0.0000,1,burner_0,start,0.0000,3.0000,0.0000,120.0000
3.0000,1,burner_0,preempt,3.0000,6.0000,0.7500,117.0000
3.0000,2,burner_1,start,0.0000,3.0000,0.7500,120.0000
6.0000,2,burner_1,preempt,3.0000,6.0000,1.5000,117.0000
6.0000,3,burner_2,start,0.0000,3.0000,1.5000,120.0000
9.0000,3,burner_2,preempt,3.0000,6.0000,2.2500,117.0000
9.0000,4,burner_3,start,0.0000,3.0000,2.2500,120.0000
15.0000,4,burner_3,preempt,6.0000,9.0000,3.7500,114.0000
15.0000,1,burner_0,start,3.0000,6.0000,3.7500,117.0000
18.0000,1,burner_0,preempt,6.0000,9.0000,4.5000,114.0000
18.0000,2,burner_1,start,3.0000,6.0000,4.5000,117.0000
21.0000,2,burner_1,preempt,6.0000,9.0000,5.2500,114.0000
21.0000,3,burner_2,start,3.0000,6.0000,5.2500,117.0000
27.0000,3,burner_2,preempt,9.0000,12.0000,6.7500,111.0000
27.0000,1,burner_0,start,6.0000,9.0000,6.7500,114.0000
30.0000,1,burner_0,preempt,9.0000,12.0000,7.5000,111.0000
30.0000,2,burner_1,start,6.0000,9.0000,7.5000,114.0000
33.0000,2,burner_1,preempt,9.0000,12.0000,8.2500,111.0000
33.0000,4,burner_3,start,6.0000,9.0000,8.2500,114.0000
39.0000,4,burner_3,preempt,12.0000,15.0000,9.7500,108.0000
39.0000,1,burner_0,start,9.0000,12.0000,9.7500,111.0000
42.0000,1,burner_0,preempt,12.0000,15.0000,10.5000,108.0000
42.0000,2,burner_1,start,9.0000,12.0000,10.5000,111.0000
45.0000,2,burner_1,preempt,12.0000,15.0000,11.2500,108.0000
45.0000,3,burner_2,start,9.0000,12.0000,11.2500,111.0000
50.0000,5,interactive,arrival,0.0000,12.8221,12.5000,1.0000
50.0000,3,burner_2,preempt,14.0000,15.0000,12.5000,106.0000
50.0000,5,interactive,start,0.0000,12.8221,12.5000,1.0000
51.0000,5,interactive,finish,1.0000,13.6221,12.7000,0.0000
51.0000,1,burner_0,start,12.0000,15.0000,12.7000,108.0000
54.0000,1,burner_0,preempt,15.0000,18.0000,13.4500,105.0000
54.0000,2,burner_1,start,12.0000,15.0000,13.4500,108.0000
57.0000,2,burner_1,preempt,15.0000,18.0000,14.2000,105.0000
57.0000,3,burner_2,start,14.0000,15.0000,14.2000,106.0000
58.0000,3,burner_2,preempt,15.0000,18.0000,14.4500,105.0000
58.0000,4,burner_3,start,12.0000,15.0000,14.4500,108.0000
64.0000,4,burner_3,preempt,18.0000,21.0000,15.9500,102.0000
64.0000,1,burner_0,start,15.0000,18.0000,15.9500,105.0000
67.0000,1,burner_0,preempt,18.0000,21.0000,16.7000,102.0000
67.0000,2,burner_1,start,15.0000,18.0000,16.7000,105.0000
70.0000,2,burner_1,preempt,18.0000,21.0000,17.4500,102.0000
70.0000,3,burner_2,start,15.0000,18.0000,17.4500,105.0000
76.0000,3,burner_2,preempt,21.0000,24.0000,18.9500,99.0000
76.0000,1,burner_0,start,18.0000,21.0000,18.9500,102.0000
79.0000,1,burner_0,preempt,21.0000,24.0000,19.7000,99.0000
79.0000,2,burner_1,start,18.0000,21.0000,19.7000,102.0000
82.0000,2,burner_1,preempt,21.0000,24.0000,20.4500,99.0000
82.0000,4,burner_3,start,18.0000,21.0000,20.4500,102.0000
88.0000,4,burner_3,preempt,24.0000,27.0000,21.9500,96.0000
88.0000,1,burner_0,start,21.0000,24.0000,21.9500,99.0000
91.0000,1,burner_0,preempt,24.0000,27.0000,22.7000,96.0000
91.0000,2,burner_1,start,21.0000,24.0000,22.7000,99.0000
94.0000,2,burner_1,preempt,24.0000,27.0000,23.4500,96.0000
94.0000,3,burner_2,start,21.0000,24.0000,23.4500,99.0000
100.0000,3,burner_2,preempt,27.0000,30.0000,24.9500,93.0000
100.0000,1,burner_0,start,24.0000,27.0000,24.9500,96.0000
103.0000,1,burner_0,preempt,27.0000,30.0000,25.7000,93.0000
103.0000,2,burner_1,start,24.0000,27.0000,25.7000,96.0000
106.0000,2,burner_1,preempt,27.0000,30.0000,26.4500,93.0000
106.0000,4,burner_3,start,24.0000,27.0000,26.4500,96.0000
112.0000,4,burner_3,preempt,30.0000,33.0000,27.9500,90.0000
112.0000,1,burner_0,start,27.0000,30.0000,27.9500,93.0000
115.0000,1,burner_0,preempt,30.0000,33.0000,28.7000,90.0000
115.0000,2,burner_1,start,27.0000,30.0000,28.7000,93.0000
118.0000,2,burner_1,preempt,30.0000,33.0000,29.4500,90.0000
118.0000,3,burner_2,start,27.0000,30.0000,29.4500,93.0000
124.0000,3,burner_2,preempt,33.0000,36.0000,30.9500,87.0000
124.0000,1,burner_0,start,30.0000,33.0000,30.9500,90.0000
127.0000,1,burner_0,preempt,33.0000,36.0000,31.7000,87.0000
127.0000,2,burner_1,start,30.0000,33.0000,31.7000,90.0000
130.0000,2,burner_1,preempt,33.0000,36.0000,32.4500,87.0000
130.0000,4,burner_3,start,30.0000,33.0000,32.4500,90.0000
136.0000,4,burner_3,preempt,36.0000,39.0000,33.9500,84.0000
136.0000,1,burner_0,start,33.0000,36.0000,33.9500,87.0000
139.0000,1,burner_0,preempt,36.0000,39.0000,34.7000,84.0000
139.0000,2,burner_1,start,33.0000,36.0000,34.7000,87.0000
142.0000,2,burner_1,preempt,36.0000,39.0000,35.4500,84.0000
142.0000,3,burner_2,start,33.0000,36.0000,35.4500,87.0000
148.0000,3,burner_2,preempt,39.0000,42.0000,36.9500,81.0000
148.0000,1,burner_0,start,36.0000,39.0000,36.9500,84.0000
151.0000,1,burner_0,preempt,39.0000,42.0000,37.7000,81.0000
151.0000,2,burner_1,start,36.0000,39.0000,37.7000,84.0000
154.0000,2,burner_1,preempt,39.0000,42.0000,38.4500,81.0000
154.0000,4,burner_3,start,36.0000,39.0000,38.4500,84.0000
160.0000,4,burner_3,preempt,42.0000,45.0000,39.9500,78.0000
160.0000,1,burner_0,start,39.0000,42.0000,39.9500,81.0000
163.0000,1,burner_0,preempt,42.0000,45.0000,40.7000,78.0000
163.0000,2,burner_1,start,39.0000,42.0000,40.7000,81.0000
166.0000,2,burner_1,preempt,42.0000,45.0000,41.4500,78.0000
166.0000,3,burner_2,start,39.0000,42.0000,41.4500,81.0000
172.0000,3,burner_2,preempt,45.0000,48.0000,42.9500,75.0000
172.0000,1,burner_0,start,42.0000,45.0000,42.9500,78.0000
175.0000,1,burner_0,preempt,45.0000,48.0000,43.7000,75.0000
175.0000,2,burner_1,start,42.0000,45.0000,43.7000,78.0000
178.0000,2,burner_1,preempt,45.0000,48.0000,44.4500,75.0000
178.0000,4,burner_3,start,42.0000,45.0000,44.4500,78.0000
184.0000,4,burner_3,preempt,48.0000,51.0000,45.9500,72.0000
184.0000,1,burner_0,start,45.0000,48.0000,45.9500,75.0000
187.0000,1,burner_0,preempt,48.0000,51.0000,46.7000,72.0000
187.0000,2,burner_1,start,45.0000,48.0000,46.7000,75.0000
190.0000,2,burner_1,preempt,48.0000,51.0000,47.4500,72.0000
190.0000,3,burner_2,start,45.0000,48.0000,47.4500,75.0000
196.0000,3,burner_2,preempt,51.0000,54.0000,48.9500,69.0000
196.0000,1,burner_0,start,48.0000,51.0000,48.9500,72.0000
199.0000,1,burner_0,preempt,51.0000,54.0000,49.7000,69.0000
199.0000,2,burner_1,start,48.0000,51.0000,49.7000,72.0000
202.0000,2,burner_1,preempt,51.0000,54.0000,50.4500,69.0000
202.0000,4,burner_3,start,48.0000,51.0000,50.4500,72.0000
208.0000,4,burner_3,preempt,54.0000,57.0000,51.9500,66.0000
208.0000,1,burner_0,start,51.0000,54.0000,51.9500,69.0000
211.0000,1,burner_0,preempt,54.0000,57.0000,52.7000,66.0000
211.0000,2,burner_1,start,51.0000,54.0000,52.7000,69.0000
214.0000,2,burner_1,preempt,54.0000,57.0000,53.4500,66.0000
214.0000,3,burner_2,start,51.0000,54.0000,53.4500,69.0000
220.0000,3,burner_2,preempt,57.0000,60.0000,54.9500,63.0000
220.0000,1,burner_0,start,54.0000,57.0000,54.9500,66.0000
223.0000,1,burner_0,preempt,57.0000,60.0000,55.7000,63.0000
223.0000,2,burner_1,start,54.0000,57.0000,55.7000,66.0000
226.0000,2,burner_1,preempt,57.0000,60.0000,56.4500,63.0000
226.0000,4,burner_3,start,54.0000,57.0000,56.4500,66.0000
232.0000,4,burner_3,preempt,60.0000,63.0000,57.9500,60.0000
232.0000,1,burner_0,start,57.0000,60.0000,57.9500,63.0000
235.0000,1,burner_0,preempt,60.0000,63.0000,58.7000,60.0000
235.0000,2,burner_1,start,57.0000,60.0000,58.7000,63.0000
238.0000,2,burner_1,preempt,60.0000,63.0000,59.4500,60.0000
238.0000,3,burner_2,start,57.0000,60.0000,59.4500,63.0000
