time_ms,task_id,task_name,event,vruntime,vd,V,remaining_ms
0.0000,1,nice_minus5,arrival,0.0000,0.9843,0.0000,150.0000
0.0000,2,nice_0,arrival,0.0000,3.0000,0.0000,150.0000
0.0000,3,nice_plus5,arrival,0.0000,9.1701,0.0000,150.0000
0.0000,1,nice_minus5,start,0.0000,0.9843,0.0000,150.0000
9.0000,1,nice_minus5,preempt,2.9529,3.9372,2.0571,141.0000
9.0000,2,nice_0,start,0.0000,3.0000,2.0571,150.0000
13.0000,2,nice_0,preempt,4.0000,6.0000,2.9714,146.0000
13.0000,1,nice_minus5,start,2.9529,3.9372,2.9714,141.0000
22.0000,1,nice_minus5,preempt,5.9058,6.8901,5.0286,132.0000
22.0000,2,nice_0,start,4.0000,6.0000,5.0286,146.0000
25.9000,2,nice_0,preempt,7.9000,9.0000,5.9200,142.1000
25.9000,1,nice_minus5,start,5.9058,6.8901,5.9200,132.0000
34.9000,1,nice_minus5,preempt,8.8587,9.8430,7.9771,123.0000
34.9000,2,nice_0,start,7.9000,9.0000,7.9771,142.1000
36.0000,2,nice_0,preempt,9.0000,12.0000,8.2286,141.0000
36.0000,3,nice_plus5,start,0.0000,9.1701,8.2286,150.0000
39.0000,3,nice_plus5,preempt,9.1701,18.3403,8.9143,147.0000
39.0000,1,nice_minus5,start,8.8587,9.8430,8.9143,123.0000
48.0000,1,nice_minus5,preempt,11.8116,12.7959,10.9714,114.0000
48.0000,2,nice_0,start,9.0000,12.0000,10.9714,141.0000
51.7000,2,nice_0,preempt,12.7000,15.0000,11.8171,137.3000
51.7000,1,nice_minus5,start,11.8116,12.7959,11.8171,114.0000
60.7000,1,nice_minus5,preempt,14.7645,15.7488,13.8743,105.0000
60.7000,2,nice_0,start,12.7000,15.0000,13.8743,137.3000
64.6000,2,nice_0,preempt,16.6000,18.0000,14.7657,133.4000
64.6000,1,nice_minus5,start,14.7645,15.7488,14.7657,105.0000
73.6000,1,nice_minus5,preempt,17.7174,18.7017,16.8229,96.0000
73.6000,2,nice_0,start,16.6000,18.0000,16.8229,133.4000
75.0000,2,nice_0,preempt,18.0000,21.0000,17.1429,132.0000
75.0000,3,nice_plus5,start,9.1701,18.3403,17.1429,147.0000
78.0000,3,nice_plus5,preempt,18.3403,27.5104,17.8286,144.0000
78.0000,1,nice_minus5,start,17.7174,18.7017,17.8286,96.0000
87.0000,1,nice_minus5,preempt,20.6703,21.6546,19.8857,87.0000
87.0000,2,nice_0,start,18.0000,21.0000,19.8857,132.0000
90.5000,2,nice_0,preempt,21.5000,24.0000,20.6857,128.5000
90.5000,1,nice_minus5,start,20.6703,21.6546,20.6857,87.0000
99.5000,1,nice_minus5,preempt,23.6232,24.6075,22.7429,78.0000
99.5000,2,nice_0,start,21.5000,24.0000,22.7429,128.5000
103.4000,2,nice_0,preempt,25.4000,27.0000,23.6343,124.6000
103.4000,1,nice_minus5,start,23.6232,24.6075,23.6343,78.0000
112.4000,1,nice_minus5,preempt,26.5761,27.5604,25.6914,69.0000
112.4000,2,nice_0,start,25.4000,27.0000,25.6914,124.6000
114.0000,2,nice_0,preempt,27.0000,30.0000,26.0571,123.0000
114.0000,3,nice_plus5,start,18.3403,27.5104,26.0571,144.0000
117.0000,3,nice_plus5,preempt,27.5104,36.6806,26.7429,141.0000
117.0000,1,nice_minus5,start,26.5761,27.5604,26.7429,69.0000
126.0000,1,nice_minus5,preempt,29.5290,30.5133,28.8000,60.0000
126.0000,2,nice_0,start,27.0000,30.0000,28.8000,123.0000
129.2000,2,nice_0,preempt,30.2000,33.0000,29.5314,119.8000
129.2000,1,nice_minus5,start,29.5290,30.5133,29.5314,60.0000
138.2000,1,nice_minus5,preempt,32.4819,33.4662,31.5886,51.0000
138.2000,2,nice_0,start,30.2000,33.0000,31.5886,119.8000
142.2000,2,nice_0,preempt,34.2000,36.0000,32.5029,115.8000
142.2000,1,nice_minus5,start,32.4819,33.4662,32.5029,51.0000
151.2000,1,nice_minus5,preempt,35.4348,36.4191,34.5600,42.0000
151.2000,2,nice_0,start,34.2000,36.0000,34.5600,115.8000
153.0000,2,nice_0,preempt,36.0000,39.0000,34.9714,114.0000
153.0000,3,nice_plus5,start,27.5104,36.6806,34.9714,141.0000
155.1000,3,nice_plus5,preempt,33.9296,36.6806,35.4514,138.9000
155.1000,1,nice_minus5,start,35.4348,36.4191,35.4514,42.0000
158.1000,1,nice_minus5,preempt,36.4191,37.4034,36.1371,39.0000
158.1000,3,nice_plus5,start,33.9296,36.6806,36.1371,138.9000
159.0000,3,nice_plus5,preempt,36.6806,45.8507,36.3429,138.0000
159.0000,2,nice_0,start,36.0000,39.0000,36.3429,114.0000
159.4000,2,nice_0,preempt,36.4000,39.0000,36.4343,113.6000
159.4000,1,nice_minus5,start,36.4191,37.4034,36.4343,39.0000
165.4000,1,nice_minus5,preempt,38.3877,39.3720,37.8057,33.0000
165.4000,2,nice_0,start,36.4000,39.0000,37.8057,113.6000
168.0000,2,nice_0,preempt,39.0000,42.0000,38.4000,111.0000
168.0000,1,nice_minus5,start,38.3877,39.3720,38.4000,33.0000
177.0000,1,nice_minus5,preempt,41.3406,42.3249,40.4571,24.0000
177.0000,2,nice_0,start,39.0000,42.0000,40.4571,111.0000
180.9000,2,nice_0,preempt,42.9000,45.0000,41.3486,107.1000
180.9000,1,nice_minus5,start,41.3406,42.3249,41.3486,24.0000
189.9000,1,nice_minus5,preempt,44.2935,45.2778,43.4057,15.0000
189.9000,2,nice_0,start,42.9000,45.0000,43.4057,107.1000
192.0000,2,nice_0,preempt,45.0000,48.0000,43.8857,105.0000
192.0000,3,nice_plus5,start,36.6806,45.8507,43.8857,138.0000
193.8000,3,nice_plus5,preempt,42.1827,45.8507,44.2971,136.2000
193.8000,1,nice_minus5,start,44.2935,45.2778,44.2971,15.0000
196.8000,1,nice_minus5,preempt,45.2778,46.2621,44.9829,12.0000
196.8000,3,nice_plus5,start,42.1827,45.8507,44.9829,136.2000
